Nome,País,Distrito,Concelho,Freguesia,Latitude,Longitude,Distância
A1R4Z4,France,Sem informação,Paris,Paris,48.8503815,2.3635853,131
A1R7X4,France,Sem informação,Paris,Paris,48.8487355,2.3660823,152
FR*V75*PPX04*04,France,Sem informação,Paris,Paris,48.8484226,2.366004,164
Garage Sully,France,Sem informação,Paris,Paris,48.8501676,2.3621707,178
A1R4Z2,France,Sem informação,Paris,Paris,48.8507738,2.3622968,217
FR*V75*P9004*02,France,Sem informação,Paris,Paris,48.8502305,2.3615763,218
Garde républicaine,France,Sem informação,Paris,Paris,48.8511434,2.3632216,220
LCL,France,Sem informação,Paris,Paris,48.8506615,2.361618,243
A1R7X5,France,Sem informação,Paris,Paris,48.851333,2.3624841,261
FR*V75*PPX12*07,France,Sem informação,Paris,Paris,48.84837,2.367915,292
Island Tours,France,Sem informação,Paris,Paris,48.851899,2.364339,292
"
--- Estatísticas ---
Total de Atrações: 14
Distância média das atrações: 0.2332857142857143km"
